Order Number,Customer ID,Product Code,Quantity,Order Total
1,U0581151,P8v6e9a8u,3,28.44
2,U0427954,P6v9v8i4j,2,8.68
2,U0427954,P3o9u3j7i,3,70.8
3,U0292166,P6v9v8i4j,1,4.34
4,U0581151,P6h3e5r4f,1,8.7
5,U0256802,P8v6e9a8u,1,9.48
5,U0256802,P6j6g6y5v,1,6.51
6,U0454585,P0l6k4p8o,1,19.63
6,U0454585,P3o9u3j7i,1,23.6
6,U0454585,P8v6e9a8u,1,9.48
7,U0454585,P8v6e9a8u,1,9.48
7,U0454585,P3o9u3j7i,1,23.6
8,U0943199,P6j6g6y5v,1,6.51
9,U0351338,P9e9t4o7p,1,24.53
10,U0358639,P8v6e9a8u,4,37.92
10,U0358639,P6j6g6y5v,1,6.51
10,U0358639,P6v9v8i4j,2,8.68
11,U0937535,P6h3e5r4f,1,8.7
12,U0292166,P4m8d4o0j,4,95.64
13,U0886351,P4m8d4o0j,2,47.82
14,U0598998,P6j6g6y5v,1,6.51
14,U0598998,P6j6g6y5v,3,19.53
15,U0061746,P6v9v8i4j,1,4.34
16,U0427954,P6j6g6y5v,1,6.51
17,U0581151,P8v6e9a8u,1,9.48
17,U0581151,P2q1m3t6f,1,24.95
17,U0581151,P6q1g8w6t,1,4.73
17,U0581151,P2q1m3t6f,4,99.8
17,U0581151,P6v9v8i4j,2,8.68
18,U0598998,P6j6g6y5v,4,26.04
19,U0097757,P4m8d4o0j,1,23.91
19,U0097757,P9e9t4o7p,1,24.53
19,U0097757,P6h3e5r4f,4,34.8
20,U0598998,P6v9v8i4j,5,21.7
21,U0458365,P3o9u3j7i,2,47.2
22,U0581151,P9e9t4o7p,5,122.65
23,U0454585,P6j6g6y5v,3,19.53
24,U0497627,P6v9v8i4j,1,4.34
25,U0937535,P9e9t4o7p,4,98.12
26,U0937535,P9e9t4o7p,2,49.06
27,U0029048,P0l6k4p8o,1,19.63
27,U0029048,P6q1g8w6t,4,18.92
27,U0029048,P6h3e5r4f,1,8.7
28,U0427954,P0l6k4p8o,1,19.63
28,U0427954,P6v9v8i4j,4,17.36
29,U0943199,P6q1g8w6t,1,4.73
30,U0292166,P6v9v8i4j,4,17.36
30,U0292166,P3o9u3j7i,3,70.8
31,U0851832,P4m8d4o0j,1,23.91
32,U0937535,P2q1m3t6f,3,74.85
33,U0655434,P6h3e5r4f,1,8.7
33,U0655434,P3o9u3j7i,4,94.4
34,U0454585,P4m8d4o0j,5,119.55
35,U0598998,P0l6k4p8o,1,19.63
36,U0943199,P4m8d4o0j,1,23.91
37,U0029048,P2q1m3t6f,1,24.95
37,U0029048,P9e9t4o7p,3,73.59
37,U0029048,P6v9v8i4j,1,4.34
38,U0358639,P8v6e9a8u,1,9.48
38,U0358639,P2q1m3t6f,5,124.75
39,U0427954,P4m8d4o0j,3,71.73
40,U0943199,P9e9t4o7p,4,98.12
40,U0943199,P8v6e9a8u,1,9.48
41,U0598998,P6q1g8w6t,1,4.73
42,U0029048,P8v6e9a8u,1,9.48
42,U0029048,P6j6g6y5v,1,6.51
43,U0427954,P6j6g6y5v,1,6.51
43,U0427954,P3o9u3j7i,4,94.4
44,U0497627,P6j6g6y5v,3,19.53
45,U0114926,P8v6e9a8u,4,37.92
45,U0114926,P6h3e5r4f,1,8.7
45,U0114926,P0l6k4p8o,5,98.15
45,U0114926,P2q1m3t6f,5,124.75
45,U0114926,P2q1m3t6f,1,24.95
45,U0114926,P0l6k4p8o,1,19.63
45,U0114926,P6v9v8i4j,4,17.36
46,U0655434,P4m8d4o0j,1,23.91
47,U0292166,P6j6g6y5v,1,6.51
48,U0981812,P4m8d4o0j,1,23.91
49,U0292166,P8v6e9a8u,1,9.48
50,U0432732,P6v9v8i4j,1,4.34
51,U0458365,P2q1m3t6f,1,24.95
52,U0937535,P6v9v8i4j,4,17.36
53,U0943199,P6j6g6y5v,1,6.51
53,U0943199,P8v6e9a8u,1,9.48
54,U0256802,P6q1g8w6t,1,4.73
54,U0256802,P9e9t4o7p,3,73.59
55,U0458365,P8v6e9a8u,5,47.4
55,U0458365,P3o9u3j7i,1,23.6
55,U0458365,P6j6g6y5v,5,32.55
55,U0458365,P9e9t4o7p,1,24.53
56,U0114926,P0l6k4p8o,1,19.63
57,U0347996,P0l6k4p8o,1,19.63
58,U0581151,P6v9v8i4j,1,4.34
59,U0351338,P4m8d4o0j,1,23.91
59,U0351338,P6q1g8w6t,1,4.73
60,U0655434,P2q1m3t6f,1,24.95
61,U0029048,P8v6e9a8u,1,9.48
61,U0029048,P6h3e5r4f,2,17.4
62,U0292166,P6v9v8i4j,1,4.34
62,U0292166,P6h3e5r4f,2,17.4
63,U0358639,P8v6e9a8u,1,9.48
63,U0358639,P4m8d4o0j,1,23.91
64,U0061746,P6q1g8w6t,3,14.19
65,U0256802,P6h3e5r4f,4,34.8
65,U0256802,P9e9t4o7p,4,98.12
66,U0655434,P6j6g6y5v,1,6.51
67,U0598998,P9e9t4o7p,1,24.53
67,U0598998,P6j6g6y5v,1,6.51
68,U0347996,P6q1g8w6t,1,4.73
69,U0937535,P2q1m3t6f,1,24.95
70,U0822745,P6v9v8i4j,1,4.34
70,U0822745,P2q1m3t6f,1,24.95
71,U0598998,P3o9u3j7i,1,23.6
72,U0114926,P2q1m3t6f,1,24.95
73,U0256802,P6v9v8i4j,1,4.34
73,U0256802,P3o9u3j7i,4,94.4
74,U0427954,P6j6g6y5v,1,6.51
75,U0114926,P6q1g8w6t,2,9.46
75,U0114926,P8v6e9a8u,5,47.4
76,U0497627,P0l6k4p8o,1,19.63
76,U0497627,P6v9v8i4j,1,4.34
76,U0497627,P0l6k4p8o,1,19.63
76,U0497627,P4m8d4o0j,1,23.91
76,U0497627,P3o9u3j7i,1,23.6
77,U0458365,P6h3e5r4f,2,17.4
78,U0937535,P2q1m3t6f,2,49.9
79,U0351338,P8v6e9a8u,1,9.48
80,U0943199,P6q1g8w6t,1,4.73
81,U0458365,P3o9u3j7i,1,23.6
82,U0256802,P4m8d4o0j,1,23.91
82,U0256802,P3o9u3j7i,4,94.4
83,U0427954,P6v9v8i4j,1,4.34
83,U0427954,P6h3e5r4f,1,8.7
83,U0427954,P9e9t4o7p,3,73.59
83,U0427954,P2q1m3t6f,1,24.95
84,U0330579,P0l6k4p8o,2,39.26
85,U0427954,P3o9u3j7i,1,23.6
86,U0256802,P4m8d4o0j,1,23.91
87,U0981812,P8v6e9a8u,1,9.48
88,U0256802,P6j6g6y5v,4,26.04
89,U0937535,P6h3e5r4f,1,8.7
89,U0937535,P2q1m3t6f,1,24.95
90,U0358639,P6v9v8i4j,1,4.34
91,U0655434,P4m8d4o0j,1,23.91
91,U0655434,P3o9u3j7i,4,94.4
92,U0598998,P6v9v8i4j,1,4.34
93,U0822745,P0l6k4p8o,5,98.15
93,U0822745,P6j6g6y5v,1,6.51
94,U0029048,P8v6e9a8u,4,37.92
95,U0029048,P9e9t4o7p,2,49.06
96,U0097757,P6j6g6y5v,1,6.51
96,U0097757,P9e9t4o7p,5,122.65
96,U0097757,P0l6k4p8o,2,39.26
96,U0097757,P6q1g8w6t,4,18.92
96,U0097757,P6j6g6y5v,1,6.51
97,U0114926,P6v9v8i4j,1,4.34
98,U0886351,P0l6k4p8o,1,19.63
99,U0256802,P6h3e5r4f,5,43.5
100,U0311204,P9e9t4o7p,1,24.53
101,U0347996,P2q1m3t6f,5,124.75
101,U0347996,P0l6k4p8o,1,19.63
101,U0347996,P6j6g6y5v,3,19.53
101,U0347996,P3o9u3j7i,5,118.0
102,U0581151,P4m8d4o0j,3,71.73
102,U0581151,P9e9t4o7p,1,24.53
103,U0330579,P0l6k4p8o,4,78.52
104,U0655434,P4m8d4o0j,1,23.91
104,U0655434,P3o9u3j7i,1,23.6
105,U0851832,P8v6e9a8u,1,9.48
106,U0311204,P6q1g8w6t,2,9.46
107,U0937535,P6h3e5r4f,3,26.1
108,U0311204,P6j6g6y5v,1,6.51
108,U0311204,P6q1g8w6t,1,4.73
108,U0311204,P0l6k4p8o,1,19.63
108,U0311204,P4m8d4o0j,1,23.91
109,U0427954,P2q1m3t6f,3,74.85
110,U0851832,P6q1g8w6t,1,4.73
110,U0851832,P6j6g6y5v,1,6.51
110,U0851832,P4m8d4o0j,1,23.91
111,U0454585,P9e9t4o7p,1,24.53
111,U0454585,P6j6g6y5v,1,6.51
111,U0454585,P8v6e9a8u,1,9.48
112,U0347996,P9e9t4o7p,2,49.06
113,U0851832,P9e9t4o7p,2,49.06
113,U0851832,P6v9v8i4j,1,4.34
114,U0822745,P6q1g8w6t,5,23.65
115,U0851832,P3o9u3j7i,5,118.0
115,U0851832,P6j6g6y5v,5,32.55
115,U0851832,P0l6k4p8o,1,19.63
115,U0851832,P3o9u3j7i,2,47.2
116,U0937535,P6j6g6y5v,1,6.51
117,U0598998,P6h3e5r4f,1,8.7
117,U0598998,P0l6k4p8o,1,19.63
118,U0061746,P9e9t4o7p,1,24.53
118,U0061746,P9e9t4o7p,3,73.59
118,U0061746,P6h3e5r4f,3,26.1
119,U0454585,P6j6g6y5v,5,32.55
120,U0598998,P6h3e5r4f,3,26.1
120,U0598998,P4m8d4o0j,1,23.91
121,U0943199,P8v6e9a8u,1,9.48
121,U0943199,P8v6e9a8u,1,9.48
121,U0943199,P4m8d4o0j,2,47.82
122,U0351338,P0l6k4p8o,4,78.52
123,U0330579,P9e9t4o7p,1,24.53
124,U0458365,P9e9t4o7p,4,98.12
125,U0097757,P3o9u3j7i,1,23.6
125,U0097757,P6q1g8w6t,1,4.73
125,U0097757,P8v6e9a8u,1,9.48
126,U0097757,P0l6k4p8o,1,19.63
127,U0655434,P6q1g8w6t,1,4.73
127,U0655434,P6j6g6y5v,1,6.51
128,U0097757,P6h3e5r4f,1,8.7
128,U0097757,P6v9v8i4j,1,4.34
129,U0358639,P6j6g6y5v,1,6.51
129,U0358639,P9e9t4o7p,4,98.12
130,U0454585,P4m8d4o0j,5,119.55
131,U0029048,P9e9t4o7p,1,24.53
131,U0029048,P0l6k4p8o,4,78.52
131,U0029048,P6h3e5r4f,1,8.7
132,U0458365,P9e9t4o7p,1,24.53
133,U0358639,P8v6e9a8u,2,18.96
134,U0822745,P9e9t4o7p,1,24.53
135,U0598998,P6q1g8w6t,4,18.92
135,U0598998,P0l6k4p8o,3,58.89
136,U0432732,P6j6g6y5v,3,19.53
136,U0432732,P4m8d4o0j,5,119.55
136,U0432732,P2q1m3t6f,1,24.95
137,U0497627,P8v6e9a8u,4,37.92
138,U0427954,P0l6k4p8o,2,39.26
138,U0427954,P4m8d4o0j,4,95.64
139,U0311204,P2q1m3t6f,1,24.95
140,U0598998,P9e9t4o7p,1,24.53
141,U0029048,P4m8d4o0j,2,47.82
142,U0330579,P2q1m3t6f,1,24.95
143,U0655434,P8v6e9a8u,2,18.96
144,U0886351,P6j6g6y5v,1,6.51
145,U0937535,P6h3e5r4f,1,8.7
145,U0937535,P4m8d4o0j,1,23.91
145,U0937535,P8v6e9a8u,1,9.48
146,U0981812,P6v9v8i4j,1,4.34
147,U0458365,P2q1m3t6f,1,24.95
147,U0458365,P3o9u3j7i,3,70.8
148,U0458365,P3o9u3j7i,2,47.2
149,U0886351,P8v6e9a8u,5,47.4
149,U0886351,P6j6g6y5v,2,13.02
150,U0458365,P3o9u3j7i,5,118.0
151,U0311204,P2q1m3t6f,1,24.95
152,U0458365,P2q1m3t6f,1,24.95
152,U0458365,P0l6k4p8o,3,58.89